,Number,Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Substation Latitude,Substation Longitude,Load MW,Load Mvar,Gen MW,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num,geometry,index_right,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,YEAR,PEAK_MONTH,AVAIL_CAP,PLAN_OUT,UNPLAN_OUT,OTHER_OUT,TOTAL_CAP,PEAK_LOAD,MIN_LOAD,SHAPE_Leng,SHAPE_Area,State
10,100131,ABERDEEN 1 2,Washington,138,1.02819,141.89,-34.33,47.165,-123.6639,57.79,30.06,,,,0,0,1,1,POINT (-1756727.715929557 503424.5918420518),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
11,100141,MONTESANO 1,Washington,138,1.02569,141.545,-34.64,47.1889,-123.686,,,,,,0,0,1,1,POINT (-1757514.965553768 506479.3184139937),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
12,100151,MONTESANO 2,Washington,138,1.0255,141.519,-34.65,47.1889,-123.686,25.01,11.8,,,,0,0,1,1,POINT (-1757514.965553768 506479.3184139937),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
13,100161,RAYMOND 1,Washington,138,1.02661,141.673,-32.28,46.656,-123.6148,,,,,,0,0,1,1,POINT (-1769987.114672914 447667.9064428441),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
14,100171,RAYMOND 2,Washington,138,1.02647,141.653,-32.3,46.656,-123.6148,25.89,7.16,,,,0,0,1,1,POINT (-1769987.114672914 447667.9064428441),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
15,100181,ELMA 1 1,Washington,138,1.03209,142.428,-35.37,47.0719,-123.2943,24.47,6.19,,,,0,0,1,1,POINT (-1733320.006790227 485307.1595036314),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
16,100191,PORT ANGELES 2 1,Washington,345,1.03859,358.314,-36.54,47.988,-123.332,,,,,,0,0,1,1,POINT (-1705972.887321315 584543.802518125),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
17,100201,PORT ANGELES 2 2,Washington,138,1.01632,140.252,-39.07,47.988,-123.332,53.35,4.54,,,33.05,0,0,1,1,POINT (-1705972.887321315 584543.802518125),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
18,100211,CATHLAMET 1,Washington,138,1.02711,141.742,-31.9,46.1904,-123.332,8.99,2.13,,,,0,0,1,1,POINT (-1764625.422411722 391339.3876710971),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
19,100221,SHELTON 1 1,Washington,138,1.04054,143.594,-35.69,47.1504,-123.13,48.19,15.92,,,,0,0,1,1,POINT (-1718989.313794627 490179.4018260767),18,37,18429,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",3628 SOUTH 35TH STREET,TACOMA,WA,98411,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,NOT AVAILABLE,2018,2,736,0,0,0,1328,922,428,2294624.603,40872456596,Washington
20,100231,SHELTON 2 1,Washington,345,1.0324,356.176,-33.23,47.1479,-123.0717,,,,,,0,0,1,1,POINT (-1714890.398551821 488651.2355600783),18,37,18429,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",3628 SOUTH 35TH STREET,TACOMA,WA,98411,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,NOT AVAILABLE,2018,2,736,0,0,0,1328,922,428,2294624.603,40872456596,
21,100241,SHELTON 2 2,Washington,138,1.04398,144.069,-35.61,47.1479,-123.0717,43.96,8.97,,,,0,0,1,1,POINT (-1714890.398551821 488651.2355600783),18,37,18429,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",3628 SOUTH 35TH STREET,TACOMA,WA,98411,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,NOT AVAILABLE,2018,2,736,0,0,0,1328,922,428,2294624.603,40872456596,
22,100251,ROCHESTER 1,Washington,138,1.03334,142.601,-32.72,46.7918,-123.0418,30.89,12.76,,,,0,0,1,1,POINT (-1724206.372524303 449695.2208847643),16,35,15500,PUGET SOUND ENERGY,MS: PSE-08S,BELLEVUE,WA,98004,(888) 225-5773,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,http://pse.com/Pages/default-aspx,2018,2,3617,94,106,54,5040,4475,2160,4869699.224,59015107844,Washington
23,100271,SEQUIM 1 1,Washington,138,1.0039,138.538,-41.07,48.0874,-123.158,,,,,,0,0,1,1,POINT (-1690452.120792493 591486.9446855173),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
24,100281,SEQUIM 1 2,Washington,138,1.00369,138.509,-41.09,48.0874,-123.158,32.23,12.72,,,,0,0,1,1,POINT (-1690452.120792493 591486.9446855173),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
25,100291,SEQUIM 2 1,Washington,138,1.00895,139.235,-40.46,48.0024,-123.0817,32.23,1.85,,,,0,0,1,1,POINT (-1687857.523182902 580727.6289814939),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
26,100301,OLYMPIA 1 1,Washington,138,1.03723,143.138,-35.05,47.0228,-123.1324,,,,,,0,0,1,1,POINT (-1723289.582948337 476508.6950453423),16,35,15500,PUGET SOUND ENERGY,MS: PSE-08S,BELLEVUE,WA,98004,(888) 225-5773,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,http://pse.com/Pages/default-aspx,2018,2,3617,94,106,54,5040,4475,2160,4869699.224,59015107844,Washington
27,100311,OLYMPIA 1 2,Washington,138,1.03707,143.115,-35.07,47.0228,-123.1324,39.8,7.18,,,,0,0,1,1,POINT (-1723289.582948337 476508.6950453423),16,35,15500,PUGET SOUND ENERGY,MS: PSE-08S,BELLEVUE,WA,98004,(888) 225-5773,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,http://pse.com/Pages/default-aspx,2018,2,3617,94,106,54,5040,4475,2160,4869699.224,59015107844,Washington
28,100321,OLYMPIA 2 1,Washington,138,1.03075,142.244,-36.12,47.0673,-123.1433,41.5,5.68,,,,0,0,1,1,POINT (-1722633.159827925 481530.7148570541),16,35,15500,PUGET SOUND ENERGY,MS: PSE-08S,BELLEVUE,WA,98004,(888) 225-5773,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,http://pse.com/Pages/default-aspx,2018,2,3617,94,106,54,5040,4475,2160,4869699.224,59015107844,Washington
29,100331,LONGVIEW 1 1,Washington,138,1.01684,140.324,-32.56,46.1277,-123.011,59.05,6.96,,,,0,0,1,1,POINT (-1743193.140197992 377536.4759350753),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Oregon
30,100341,LONGVIEW 2 1,Washington,138,1.01568,140.163,-32.43,46.1467,-122.9894,,,,,,0,0,1,1,POINT (-1741009.722231833 379111.2457877309),7,13,14378,PACIFICORP - WEST,P O BOX 26000,PORTLAND,OR,97256,(888) 221-7070,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",6/20/2019,OTHER,5/15/2020,https://www.pacificorp.com/,2018,2,6035,6,148,20,6209,3789,1742,8253391.606,4.76438E+11,Washington
31,100351,LONGVIEW 2 2,Washington,138,1.01513,140.088,-32.45,46.1467,-122.9894,59.05,42.65,,,,0,0,1,1,POINT (-1741009.722231833 379111.2457877309),7,13,14378,PACIFICORP - WEST,P O BOX 26000,PORTLAND,OR,97256,(888) 221-7070,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",6/20/2019,OTHER,5/15/2020,https://www.pacificorp.com/,2018,2,6035,6,148,20,6209,3789,1742,8253391.606,4.76438E+11,Washington
32,100361,LONGVIEW 2 3,Washington,138,1.01632,140.252,-32.39,46.1467,-122.9894,,,,,,0,0,1,1,POINT (-1741009.722231833 379111.2457877309),7,13,14378,PACIFICORP - WEST,P O BOX 26000,PORTLAND,OR,97256,(888) 221-7070,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",6/20/2019,OTHER,5/15/2020,https://www.pacificorp.com/,2018,2,6035,6,148,20,6209,3789,1742,8253391.606,4.76438E+11,Washington
33,100371,CHEHALIS 1 1,Washington,138,1.0338,142.665,-32.09,46.66,-122.9629,58.29,11.32,,,,0,0,1,1,POINT (-1722723.029640232 433802.5458742503),18,37,18429,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",3628 SOUTH 35TH STREET,TACOMA,WA,98411,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,NOT AVAILABLE,2018,2,736,0,0,0,1328,922,428,2294624.603,40872456596,Washington
34,100381,OLYMPIA 3 1,Washington,138,1.03567,142.923,-36.4,47.1433,-123.0213,36.59,13.17,,,,0,0,1,1,POINT (-1711424.232234313 487070.2479084365),18,37,18429,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",3628 SOUTH 35TH STREET,TACOMA,WA,98411,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,NOT AVAILABLE,2018,2,736,0,0,0,1328,922,428,2294624.603,40872456596,
35,100391,OLYMPIA 3 2,Washington,138,1.03591,142.955,-36.38,47.1433,-123.0213,,,,,,0,0,1,1,POINT (-1711424.232234313 487070.2479084365),18,37,18429,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",3628 SOUTH 35TH STREET,TACOMA,WA,98411,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,NOT AVAILABLE,2018,2,736,0,0,0,1328,922,428,2294624.603,40872456596,
36,100401,OLYMPIA 4 1,Washington,138,1.03024,142.173,-37.08,47.1717,-122.9228,43.57,13.69,,,,0,0,1,1,POINT (-1703445.848386065 488010.0059835516),16,35,15500,PUGET SOUND ENERGY,MS: PSE-08S,BELLEVUE,WA,98004,(888) 225-5773,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,http://pse.com/Pages/default-aspx,2018,2,3617,94,106,54,5040,4475,2160,4869699.224,59015107844,
37,100411,WINLOCK 1,Washington,138,1.03232,142.461,-31.34,46.4187,-122.8957,20.08,9.93,,,,0,0,1,1,POINT (-1725532.558248133 406368.2563648761),18,37,18429,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",3628 SOUTH 35TH STREET,TACOMA,WA,98411,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,NOT AVAILABLE,2018,2,736,0,0,0,1328,922,428,2294624.603,40872456596,Washington
38,100421,CENTRALIA 1 1,Washington,138,1.03289,142.539,-33.19,46.7548,-122.8481,59.25,11.36,,,,0,0,1,1,POINT (-1711391.852512104 441533.6473433836),18,37,18429,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",3628 SOUTH 35TH STREET,TACOMA,WA,98411,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,NOT AVAILABLE,2018,2,736,0,0,0,1328,922,428,2294624.603,40872456596,Washington
39,100431,BELFAIR 1,Washington,138,1.02181,141.009,-38.81,47.4535,-122.9264,,,,,,0,0,1,1,POINT (-1694642.018875558 518403.980607893),18,37,18429,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",3628 SOUTH 35TH STREET,TACOMA,WA,98411,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,NOT AVAILABLE,2018,2,736,0,0,0,1328,922,428,2294624.603,40872456596,Washington
40,100441,BELFAIR 2,Washington,138,1.0217,140.995,-38.83,47.4535,-122.9264,37.54,1.74,,,,0,0,1,1,POINT (-1694642.018875558 518403.980607893),18,37,18429,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",3628 SOUTH 35TH STREET,TACOMA,WA,98411,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,NOT AVAILABLE,2018,2,736,0,0,0,1328,922,428,2294624.603,40872456596,Washington
41,100451,CASTLE ROCK 1 1,Washington,138,1.02278,141.144,-32.15,46.3394,-122.8091,25.35,12.91,,,,0,0,1,1,POINT (-1721738.1312202 395955.3843910114),7,13,14378,PACIFICORP - WEST,P O BOX 26000,PORTLAND,OR,97256,(888) 221-7070,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",6/20/2019,OTHER,5/15/2020,https://www.pacificorp.com/,2018,2,6035,6,148,20,6209,3789,1742,8253391.606,4.76438E+11,Washington
42,100461,OLYMPIA 5 1,Washington,138,1.02229,141.076,-34.51,46.9955,-122.8581,,,,,,0,0,1,1,POINT (-1704438.46991943 467660.944789065),16,35,15500,PUGET SOUND ENERGY,MS: PSE-08S,BELLEVUE,WA,98004,(888) 225-5773,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,http://pse.com/Pages/default-aspx,2018,2,3617,94,106,54,5040,4475,2160,4869699.224,59015107844,Washington
43,100471,OLYMPIA 5 2,Washington,138,1.02213,141.054,-34.54,46.9955,-122.8581,45.76,5.94,,,,0,0,1,1,POINT (-1704438.46991943 467660.944789065),16,35,15500,PUGET SOUND ENERGY,MS: PSE-08S,BELLEVUE,WA,98004,(888) 225-5773,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,http://pse.com/Pages/default-aspx,2018,2,3617,94,106,54,5040,4475,2160,4869699.224,59015107844,Washington
